epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,814.536,1.52087,0.86144,1.06461,0.64613,0.5403,0.51845,0.17936,2.43089,1.34436,1.51377,0.000363239,0.000363239,0.000363239
81,824.293,1.51535,0.84962,1.06305,0.59738,0.58596,0.53875,0.1742,2.44464,1.31823,1.53812,0.000346736,0.000346736,0.000346736
82,833.901,1.5476,0.86065,1.06833,0.58832,0.56815,0.51481,0.17142,2.45616,1.33571,1.53314,0.000330233,0.000330233,0.000330233
83,843.545,1.51288,0.83072,1.04956,0.59695,0.55787,0.49304,0.17373,2.44143,1.31671,1.52241,0.000313729,0.000313729,0.000313729
84,853.249,1.49533,0.82815,1.04304,0.62025,0.53042,0.50839,0.17107,2.43431,1.33828,1.52057,0.000297226,0.000297226,0.000297226
85,862.939,1.51253,0.84254,1.0556,0.67075,0.54124,0.51715,0.18124,2.42479,1.36436,1.51132,0.000280723,0.000280723,0.000280723
86,872.616,1.4688,0.8075,1.05487,0.60921,0.56623,0.5148,0.17535,2.46357,1.35257,1.55543,0.00026422,0.00026422,0.00026422
87,882.328,1.43304,0.78667,1.03709,0.59936,0.57792,0.52318,0.17428,2.48174,1.33134,1.56635,0.000247716,0.000247716,0.000247716
88,891.987,1.42924,0.79834,1.02376,0.58723,0.56176,0.52261,0.17527,2.45447,1.34523,1.53554,0.000231213,0.000231213,0.000231213
89,901.632,1.42771,0.79916,1.03033,0.59671,0.54724,0.50927,0.16865,2.46804,1.3561,1.5503,0.00021471,0.00021471,0.00021471
90,911.281,1.44134,0.78301,1.02596,0.66837,0.54286,0.52623,0.17294,2.45586,1.35589,1.56174,0.000198206,0.000198206,0.000198206
91,935.271,1.45973,0.807,1.10194,0.6552,0.55319,0.51259,0.17617,2.4538,1.35562,1.55886,0.000181703,0.000181703,0.000181703
92,944.908,1.41793,0.77785,1.05571,0.62077,0.55089,0.50622,0.17234,2.47125,1.33912,1.56311,0.0001652,0.0001652,0.0001652
93,954.508,1.38612,0.74723,1.04424,0.6469,0.55948,0.52503,0.17055,2.48174,1.35335,1.5741,0.000148696,0.000148696,0.000148696
94,964.115,1.3622,0.75329,1.05077,0.61913,0.55032,0.50808,0.17247,2.49771,1.33861,1.58438,0.000132193,0.000132193,0.000132193
95,973.716,1.35536,0.73583,1.04095,0.64096,0.54594,0.50818,0.16688,2.48569,1.3393,1.58414,0.00011569,0.00011569,0.00011569
96,983.329,1.3681,0.73731,1.03803,0.61992,0.54205,0.50447,0.16458,2.483,1.3417,1.58322,9.91865e-05,9.91865e-05,9.91865e-05
97,992.957,1.34341,0.73627,1.05019,0.63977,0.52584,0.50692,0.17159,2.48548,1.3456,1.58389,8.26832e-05,8.26832e-05,8.26832e-05
98,1002.58,1.33357,0.72385,1.03788,0.64418,0.5444,0.51933,0.16972,2.49347,1.34152,1.59674,6.61799e-05,6.61799e-05,6.61799e-05
99,1012.23,1.30891,0.72426,1.04009,0.65027,0.5444,0.51544,0.16928,2.48022,1.33957,1.58957,4.96766e-05,4.96766e-05,4.96766e-05
100,1021.85,1.30099,0.70994,1.01981,0.66717,0.5358,0.51067,0.16709,2.48551,1.34326,1.59392,3.31733e-05,3.31733e-05,3.31733e-05
